=== TSP Lore AI Test (Full TSP + strong prompt) ===
Sample: 50 items, batch: 10

Sampled 50 items (pet-prioritized)

Encoded 767 paragraphs, 1799 tokens total

  [debug batch 1] payload.len=872 responses=10/10
  [debug raw] {
  "0": "[[0||挖掘经验加成]]",
  batch 37: 10 paragraphs, 4364ms, tokens 30/30 (100%), color ok 5 wrong 0, perfect 10
  batch 38: 10 paragraphs, 2522ms, tokens 19/19 (100%), color ok 3 wrong 0, perfect 10
  batch 39: 10 paragraphs, 3665ms, tokens 19/19 (100%), color ok 4 wrong 0, perfect 10
  batch 40: 10 paragraphs, 2883ms, tokens 20/20 (100%), color ok 5 wrong 0, perfect 10
  batch 41: 10 paragraphs, 2443ms, tokens 17/17 (100%), color ok 0 wrong 0, perfect 10
  batch 42: 10 paragraphs, 3259ms, tokens 32/32 (100%), color ok 5 wrong 0, perfect 10
  batch 43: 10 paragraphs, 3596ms, tokens 30/30 (100%), color ok 7 wrong 0, perfect 10
  batch 44: 10 paragraphs, 3618ms, tokens 23/23 (100%), color ok 2 wrong 0, perfect 10
  batch 45: 10 paragraphs, 2438ms, tokens 18/18 (100%), color ok 3 wrong 0, perfect 10
  batch 46: 10 paragraphs, 2573ms, tokens 17/17 (100%), color ok 3 wrong 0, perfect 10
  batch 47: 10 paragraphs, 2121ms, tokens 19/19 (100%), color ok 5 wrong 0, perfect 10
  batch 48: 10 paragraphs, 2557ms, tokens 21/21 (100%), color ok 7 wrong 0, perfect 10
  batch 49: 10 paragraphs, 2568ms, tokens 15/15 (100%), color ok 2 wrong 0, perfect 10
  batch 50: 10 paragraphs, 2579ms, tokens 22/22 (100%), color ok 6 wrong 0, perfect 10
  batch 51: 10 paragraphs, 1993ms, tokens 18/18 (100%), color ok 5 wrong 0, perfect 10
  batch 52: 10 paragraphs, 3054ms, tokens 24/24 (100%), color ok 1 wrong 0, perfect 10
  batch 53: 10 paragraphs, 2334ms, tokens 20/20 (100%), color ok 3 wrong 0, perfect 10
  batch 54: 10 paragraphs, 2195ms, tokens 23/23 (100%), color ok 7 wrong 0, perfect 10
  batch 55: 10 paragraphs, 4170ms, tokens 34/34 (100%), color ok 2 wrong 0, perfect 10
  batch 56: 10 paragraphs, 2477ms, tokens 20/20 (100%), color ok 4 wrong 0, perfect 10
  batch 57: 10 paragraphs, 5819ms, tokens 36/36 (100%), color ok 5 wrong 0, perfect 10
  batch 58: 10 paragraphs, 3159ms, tokens 24/24 (100%), color ok 3 wrong 0, perfect 10
  batch 59: 10 paragraphs, 2316ms, tokens 25/25 (100%), color ok 7 wrong 0, perfect 10
  batch 60: 10 paragraphs, 3822ms, tokens 27/27 (100%), color ok 3 wrong 0, perfect 10
  batch 61: 10 paragraphs, 3063ms, tokens 26/26 (100%), color ok 4 wrong 0, perfect 10
  batch 62: 10 paragraphs, 2582ms, tokens 30/30 (100%), color ok 6 wrong 0, perfect 10
  batch 63: 10 paragraphs, 6137ms, tokens 32/33 (97%), color ok 1 wrong 0, perfect 9
  batch 64: 10 paragraphs, 2838ms, tokens 21/21 (100%), color ok 4 wrong 0, perfect 10
  batch 65: 10 paragraphs, 2709ms, tokens 18/18 (100%), color ok 0 wrong 0, perfect 10
  batch 66: 10 paragraphs, 2775ms, tokens 34/34 (100%), color ok 8 wrong 0, perfect 10
  batch 67: 10 paragraphs, 4685ms, tokens 30/30 (100%), color ok 1 wrong 0, perfect 10
  batch 68: 10 paragraphs, 3103ms, tokens 22/22 (100%), color ok 7 wrong 0, perfect 10
  batch 69: 10 paragraphs, 3504ms, tokens 23/23 (100%), color ok 3 wrong 0, perfect 10
  batch 70: 10 paragraphs, 2552ms, tokens 19/19 (100%), color ok 2 wrong 0, perfect 10
  batch 71: 10 paragraphs, 2843ms, tokens 36/36 (100%), color ok 9 wrong 0, perfect 10
  batch 72: 10 paragraphs, 5037ms, tokens 22/22 (100%), color ok 3 wrong 0, perfect 10
  batch 73: 10 paragraphs, 2361ms, tokens 20/20 (100%), color ok 4 wrong 0, perfect 10
  batch 74: 10 paragraphs, 1818ms, tokens 15/15 (100%), color ok 3 wrong 0, perfect 10
  batch 75: 10 paragraphs, 3026ms, tokens 20/20 (100%), color ok 5 wrong 0, perfect 10
  batch 76: 10 paragraphs, 2853ms, tokens 19/19 (100%), color ok 1 wrong 0, perfect 10
  batch 77: 7 paragraphs, 2270ms, tokens 13/13 (100%), color ok 5 wrong 0, perfect 7

══════════════════════════════════════
  TSP Lore AI Test Summary
══════════════════════════════════════
  API batches:           77
  Paragraphs tested:     767
  Perfect paragraphs:    762 (99.35%)
  Tokens sent:           1799
  Tokens preserved:      1793 (99.67%)
  Color correct:         315
  Color wrong:           0
  Color accuracy:        100.00%

  --- Token 消耗 & Prompt 长度 ---
  System prompt chars:   581
  Total payload chars:   53833 (avg 699/batch)
  Prompt tokens (API):   37907
  Completion tokens:     26220
  Total tokens (API):    64127
  Avg tokens/batch:      832
